ping,pong,payload,run,domain,p50,p99,p999,max,status
fastdds,fastdds,4096,2,128,44.605,78.298,144.704,702.77,ok
fastdds,fastdds,4096,3,129,46.639,108.937,347.047,511.148,ok
fastdds,rti,4096,1,130,50.065,101.603,184.038,235.877,ok
fastdds,rti,4096,2,131,55.425,121.05,327.82,941.774,ok
fastdds,rti,4096,3,132,47.891,93.778,132.431,222.482,ok
rti,zerodds,4096,1,133,62.749,94.198,203.045,384.749,ok
rti,zerodds,4096,2,134,51.468,96.683,215.749,223.173,ok
rti,zerodds,4096,3,135,51.137,89.66,124.075,191.222,ok
rti,cyclone,4096,1,136,50.085,88.597,139.194,230.105,ok
rti,cyclone,4096,2,137,45.927,89.56,197.564,305.549,ok
rti,cyclone,4096,3,138,55.085,166.987,404.997,2070.37,ok
rti,fastdds,4096,1,139,46.518,96.062,159.763,354.492,ok
rti,fastdds,4096,2,140,51.728,100.65,411.559,1023.63,ok
rti,fastdds,4096,3,141,47.59,92.375,119.095,213.274,ok
rti,rti,4096,1,142,28.544,63.58,101.622,135.115,ok
rti,rti,4096,2,143,27.823,61.116,92.535,121.57,ok
rti,rti,4096,3,144,31.971,70.714,234.144,336.978,ok
zerodds,zerodds,8192,1,145,39.785,73.449,177.446,532.779,ok
zerodds,zerodds,8192,2,146,38.032,66.917,84.57,116.791,ok
zerodds,zerodds,8192,3,147,37.02,75.062,126.579,153.44,ok
zerodds,cyclone,8192,1,148,73.529,136.248,229.765,268.439,ok
zerodds,cyclone,8192,2,149,78.919,163.901,368.297,858.175,ok
zerodds,cyclone,8192,3,150,81.715,145.275,195.45,237.66,ok
zerodds,fastdds,8192,1,151,90.441,174.28,300.238,351.285,ok
zerodds,fastdds,8192,2,152,88.979,164.592,291.893,366.223,ok
zerodds,fastdds,8192,3,153,89.619,156.086,255.223,663.867,ok
zerodds,rti,8192,1,154,83.308,199.678,448.95,1396.57,ok
zerodds,rti,8192,2,155,72.808,137.821,266.254,281.823,ok
zerodds,rti,8192,3,156,83.869,144.453,247.619,820.884,ok
cyclone,zerodds,8192,1,157,67.127,141.708,223.684,521.237,ok
cyclone,zerodds,8192,2,158,67.859,125.778,281.433,982.43,ok
cyclone,zerodds,8192,3,159,0,,,,timeout
cyclone,cyclone,8192,1,160,41.599,84.71,170.122,227.772,ok
cyclone,cyclone,8192,2,161,42.069,77.537,94.639,132.491,ok
cyclone,cyclone,8192,3,162,56.738,89.079,167.086,221.54,ok
cyclone,fastdds,8192,1,163,65.414,94.799,174.711,239.694,ok
cyclone,fastdds,8192,2,164,57.719,136.248,229.896,805.074,ok
cyclone,fastdds,8192,3,165,51.798,97.725,172.125,254.392,ok
cyclone,rti,8192,1,166,221.96,344.572,434.172,466.804,ok
cyclone,rti,8192,2,167,219.185,357.106,606.659,1131.14,ok
cyclone,rti,8192,3,168,216.24,322.961,499.516,603.994,ok
fastdds,zerodds,8192,1,169,78.759,136.379,271.334,657.856,ok
fastdds,zerodds,8192,2,170,72.998,121.82,225.537,1050.27,ok
fastdds,zerodds,8192,3,171,80.543,141.077,289.679,1079.04,ok
fastdds,cyclone,8192,1,172,51.127,94.048,191.763,221.229,ok
fastdds,cyclone,8192,2,173,49.223,85.883,157.688,183.067,ok
fastdds,cyclone,8192,3,174,51.438,130.037,263.99,266.856,ok
fastdds,fastdds,8192,1,175,51.928,88.087,99.779,191.452,ok
fastdds,fastdds,8192,2,176,50.185,96.012,185.06,1051.87,ok
fastdds,fastdds,8192,3,177,48.652,115.328,170.874,213.234,ok
fastdds,rti,8192,1,178,52.82,102.985,169.33,1569.75,ok
fastdds,rti,8192,2,179,64.252,110.92,278.177,1050.23,ok
fastdds,rti,8192,3,180,56.026,93.367,242.059,538.529,ok
rti,zerodds,8192,1,181,73.609,131.669,166.485,257.658,ok
rti,zerodds,8192,2,182,71.736,119.426,141.047,234.223,ok
rti,zerodds,8192,3,183,90.542,120.007,220.738,668.566,ok
rti,cyclone,8192,1,184,55.755,137.26,247.199,421.078,ok
rti,cyclone,8192,2,185,61.386,103.516,196.241,457.877,ok
rti,cyclone,8192,3,186,65.224,108.325,207.022,340.635,ok
rti,fastdds,8192,1,187,58.631,93.608,128.052,180.271,ok
rti,fastdds,8192,2,188,51.066,114.316,309.676,797.901,ok
rti,fastdds,8192,3,189,69.482,106.222,197.885,203.285,ok
rti,rti,8192,1,190,32.312,64.813,80.603,84.01,ok
rti,rti,8192,2,191,31.82,63.63,93.687,115.499,ok
rti,rti,8192,3,192,28.744,50.937,73.369,139.424,ok
